t,mode,dist,speed,cmd_speed,x,y
0.000,1,43.000,0.000,0.000,845.00,324.00
0.017,1,43.000,0.000,0.000,845.00,324.00
0.033,1,43.000,0.000,0.000,845.00,324.00
0.050,1,43.000,0.000,0.000,845.00,324.00
0.067,1,43.000,0.000,0.000,845.00,324.00
0.083,1,43.000,0.000,0.000,845.00,324.00
0.100,1,43.000,0.000,0.000,845.00,324.00
0.117,1,43.000,0.000,0.000,845.00,324.00
0.133,1,43.000,0.000,0.000,845.00,324.00
0.150,1,43.000,0.000,0.000,845.00,324.00
0.167,1,43.000,0.000,0.000,845.00,324.00
0.183,1,43.000,0.000,0.000,845.00,324.00
0.200,1,43.000,0.000,0.000,845.00,324.00
0.217,1,43.000,0.000,0.000,845.00,324.00
0.233,1,43.000,0.000,0.000,845.00,324.00
0.250,1,43.000,0.000,0.000,845.00,324.00
0.267,1,43.000,0.000,0.000,845.00,324.00
0.283,1,43.000,0.000,0.000,845.00,324.00
0.300,1,43.000,0.000,0.000,845.00,324.00
0.317,1,43.000,0.000,0.000,845.00,324.00
0.333,1,43.000,0.000,0.000,845.00,324.00
0.350,1,43.000,0.000,0.000,845.00,324.00
0.367,1,43.000,0.000,0.000,845.00,324.00
0.383,1,43.000,0.000,0.000,845.00,324.00
0.400,1,43.000,0.000,0.000,845.00,324.00
0.417,1,43.000,0.000,0.000,845.00,324.00
0.433,1,43.000,0.000,0.000,845.00,324.00
0.450,1,43.000,0.000,0.000,845.00,324.00
0.467,1,43.000,0.000,0.000,845.00,324.00
0.483,1,43.000,0.000,0.000,845.00,324.00
0.500,1,43.000,0.000,0.000,845.00,324.00
0.517,1,43.000,0.000,0.000,845.00,324.00
0.533,1,43.000,0.000,0.000,845.00,324.00
0.550,1,43.000,0.000,0.000,845.00,324.00
0.567,1,43.000,0.000,0.000,845.00,324.00
0.583,1,43.000,0.000,0.000,845.00,324.00
0.600,1,43.000,0.000,0.000,845.00,324.00
0.617,1,43.000,0.000,0.000,845.00,324.00
0.633,1,43.000,0.000,0.000,845.00,324.00
0.650,1,43.000,0.000,0.000,845.00,324.00
0.667,1,43.000,0.000,0.000,845.00,324.00
0.683,1,43.000,0.000,0.000,845.00,324.00
